genome	relative_abundance	sample
AlvarezOrdonezA_xxxx__Q03-23__bin_2_PROK	0	C1
MASTER_WP4_UNINA_1__PR004_71775__bin_7_PROK	0	C1
MortensenS_xxxx__WK022-1-L-08h-02F7_S112__bin_9_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS13-29__bin_2_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS11-30__bin_10_PROK	0	C1
MASTER_WP4_UNINA_1__AS207_73417__bin_6_PROK	0	C1
DeFilippisF_xxxx__DF_16__bin_5_PROK	0	C1
MASTER_WP4_UNINA_2__O-28__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB08-30__bin_6_PROK	0	C1
MASTER_WP4_CSIC_1__P2244_73323__bin_7_PROK	0	C1
DeFilippisF_xxxx__DF_42__bin_16_PROK	0	C1
PatroJN_2016__SRS1044735__bin_26_PROK	0	C1
MASTER_WP4_UNINA_1__PA004_73417__bin_2_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB16-30__bin_3_PROK	0	C1
DeFilippisF_xxxx__DS_70__bin_3_PROK	0	C1
AlvarezOrdonezA_xxxx__Q04-29__bin_10_PROK	0	C1
MortensenS_xxxx__WK036-2-L-08h-03D5_S51__bin_1_EUK	0	C1
WalshAM_2020__ERS3466743__bin_1_PROK	0	C1
MortensenS_xxxx__WK035-2-L-08h-03D1_S47__bin_8_EUK	0	C1
MortensenS_xxxx__WK034-1-L-48h-03C5_S42__bin_5_PROK	0	C1
MASTER_WP4_FFoQSI_1__RC17-F-AR__bin_13_PROK	0	C1
MASTER_WP4_CSIC_1__P2138_73322__bin_7_PROK	0	C1
LeechJ_2020__ERS3967703__bin_6_PROK	0	C1
DeFilippisF_xxxx__DS_112__bin_11_PROK	0	C1
MASTER_WP4_CSIC_2__P2560__bin_13_PROK	0	C1
MASTER_WP4_UNINA_1__SC012_71775__bin_17_EUK	0	C1
MortensenS_xxxx__WK050-2-G-48h-04D2_S129__bin_2_EUK	0	C1
LeechJ_xxxx__AF83__bin_8_PROK	0	C1
WalshAM_2020__ERS3466782__bin_1_PROK	0	C1
MortensenS_xxxx__WK040-1-L-48h-03F2_S66__bin_3_PROK	0	C1
MortensenS_xxxx__WK001T-2-G-00h-05I6_S130__bin_3_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB12-F-BR__bin_35_PROK	0	C1
MortensenS_xxxx__WK007-2-G-48h-01D1_S7__bin_3_PROK	0	C1
LeechJ_xxxx__AF21__bin_4_PROK	0	C1
LeechJ_2020__ERS3967723__bin_2_PROK	0	C1
MortensenS_xxxx__WK018-2-L-08h-02D8_S95__bin_1_PROK	0	C1
MASTER_WP4_UNINA_1__PM007_71775__bin_2_PROK	0	C1
MortensenS_xxxx__WK048-2-L-48h-03I9_S100__bin_10_PROK	0	C1
DeFilippisF_xxxx__DF_118__bin_3_PROK	0	C1
PasolliE_2020__SRS6525480__bin_1_PROK	0	C1
MortensenS_xxxx__WK002-1-L-08h-01F5_S29__bin_2_PROK	0	C1
MASTER_WP4_UNINA_2__J-17__bin_30_PROK	0	C1
MortensenS_xxxx__WK050-2-L-08h-04C9_S127__bin_4_PROK	0	C1
DeFilippisF_xxxx__DS_103__bin_10_PROK	0	C1
LeechJ_xxxx__AF88__bin_5_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB07-29__bin_21_PROK	0	C1
MASTER_WP4_UNINA_1__PM007_71775__bin_7_PROK	0	C1
MortensenS_xxxx__WK018T-1-L-48h-05G2_S108__bin_4_PROK	0	C1
BertuzziAS_2018__ERS2032117__bin_8_PROK	0	C1
FS56_2017_noduplicates_bin_3_fa_PROK_MiFo_tagged	0	C1
MASTER_WP4_UNINA_1__FO011_71775__bin_8_PROK	0	C1
MASTER_WP4_UNINA_1__PR102_71775__bin_27_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-16-M16__bin_5_PROK	0	C1
PfeferT_xxxx__SRS2870575__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-05-AD__bin_42_PROK	0	C1
MASTER_WP4_CSIC_2__P2598__bin_31_EUK	0	C1
WalshAM_2017__ERS1739832__bin_2_PROK	0	C1
MASTER_WP4_UNINA_1__FI010_71775__bin_21_PROK	0	C1
MASTER_WP4_UNINA_1__FO007_71775__bin_47_PROK	0	C1
MortensenS_xxxx__WK017-1-L-48h-02D3_S90__bin_1_PROK	0	C1
MASTER_WP4_CSIC_1__P2134_73322__bin_16_EUK	0	C1
MortensenS_xxxx__WK001T-1-L-48h-05F9_S106__bin_8_PROK	0.0410789	C1
DeFilippisF_xxxx__DS_57__bin_5_PROK	0	C1
MASTER_WP4_UNINA_1__GR211_71775__bin_9_PROK	0	C1
KastmanEK_2016__CSB962__bin_5_PROK	0	C1
MortensenS_xxxx__WK033-2-L-48h-03C3_S40__bin_2_PROK	0	C1
MASTER_WP4_UNINA_2__V-29__bin_11_PROK	0	C1
MASTER_WP4_FFoQSI_1__KM-4D__bin_9_PROK	0	C1
MASTER_WP4_UNINA_1__AS001_71775__bin_7_PROK	0	C1
AlvarezOrdonezA_xxxx__C02-19__bin_1_PROK	0	C1
ChaconVargasK_2020__SRS6087091__bin_10_PROK	0	C1
MASTER_WP4_UNINA_2__Q-19__bin_17_PROK	0	C1
MASTER_WP4_UNINA_1__SP009_71775__bin_6_PROK	0	C1
MortensenS_xxxx__WK053-2-G-48h-05G5_S111__bin_2_PROK	0	C1
MASTER_WP4_UNINA_2__J-19__bin_38_PROK	0	C1
MortensenS_xxxx__WK013-2-L-48h-02B7_S76__bin_3_PROK	0	C1
MortensenS_xxxx__WK016-2-G-48h-01E1_S16__bin_3_EUK	0	C1
MASTER_WP4_TEAGASC_1__TGS14-30__bin_38_PROK	0	C1
DeFilippisF_xxxx__DF_36__bin_7_PROK	0	C1
LeechJ_2020__ERS3967722__bin_4_PROK	0	C1
MASTER_WP4_FFoQSI_1__RC17-F-AR__bin_18_PROK	0	C1
BertuzziAS_2018__ERS2032114__bin_6_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-16-BD__bin_69_PROK	0	C1
WalshL_xxxx__k9__bin_3_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-16-M14__bin_7_PROK	0	C1
FerrocinoI_2018__SRS1779548__bin_3_PROK	0	C1
MASTER_WP4_UNINA_1__GO102_71775__bin_30_PROK	0	C1
WalshL_xxxx__G5__bin_2_PROK	0	C1
MortensenS_xxxx__WK063-1-L-08h-04I7_S50__bin_4_PROK	0	C1
MASTER_WP4_CSIC_2__P2624__bin_11_PROK	0	C1
LeechJ_2020__ERS3967743__bin_1_PROK	0	C1
MASTER_WP4_UNINA_1__CM008_71775__bin_7_PROK	0	C1
AlvarezOrdonezA_xxxx__Q08-23__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB03-29__bin_17_PROK	0	C1
MortensenS_xxxx__WK065-2-L-48h-05B4_S65__bin_2_PROK	0	C1
MortensenS_xxxx__WK053-2-L-48h-04E6_S13__bin_4_PROK	0	C1
SternesPR_2017__Y2D1_B_shotgun__bin_9_EUK	0	C1
MortensenS_xxxx__WK044-2-L-48h-03H2_S84__bin_3_PROK	0	C1
MortensenS_xxxx__WK045-1-L-08h-03H3_S85__bin_9_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB12-F-AR__bin_11_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-08-M4__bin_3_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-09-BD__bin_42_EUK	0	C1
MASTER_WP4_UNINA_1__SP109_71775__bin_9_PROK	0	C1
MortensenS_xxxx__WK034-2-L-48h-03C7_S44__bin_5_PROK	0.032994945	C1
MASTER_WP4_FFoQSI_3__VB02-29__bin_19_PROK	0	C1
MASTER_WP4_CSIC_2__P2594__bin_15_PROK	0	C1
WolfeBE_2014__679_Raclette__bin_9_PROK	0	C1
MASTER_WP4_UNINA_1__GO003_71775__bin_11_PROK	0	C1
MASTER_WP4_UNINA_1__FO013_71775__bin_7_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB14-22__bin_44_PROK	0	C1
WolfeBE_2014__319_Tarentaise__bin_6_PROK	0	C1
MortensenS_xxxx__WK012-2-G-48h-01D6_S12__bin_5_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-16-AG__bin_32_PROK	0	C1
WalshL_xxxx__Q10__bin_5_PROK	0	C1
DeFilippisF_xxxx__DF_67__bin_30_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB08-28__bin_5_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB02-30__bin_31_PROK	0	C1
AlvarezOrdonezA_xxxx__R04-17__bin_13_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB03-29__bin_9_PROK	0	C1
LandisEA_2021__SRS5653132__bin_4_PROK	0	C1
MortensenS_xxxx__WK048-1-L-08h-03I6_S97__bin_5_EUK	0	C1
MASTER_WP4_FFoQSI_1__VB-16-M15__bin_29_PROK	0	C1
LeechJ_xxxx__AF17__bin_5_PROK	0	C1
MortensenS_xxxx__WK031-2-L-08h-03B3_S31__bin_4_PROK	0	C1
WalshL_xxxx__M5__bin_6_PROK	0	C1
DeFilippisF_xxxx__DF_58__bin_5_PROK	0	C1
WalshL_xxxx__F2__bin_3_PROK	0	C1
AlvarezOrdonezA_xxxx__Q02-30__bin_14_PROK	0	C1
MASTER_WP4_CSIC_1__P2236_73323__bin_10_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB15-27__bin_5_PROK	0	C1
WalshL_xxxx__E2__bin_3_PROK	0	C1
MASTER_WP4_CSIC_2__P2569__bin_16_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS13-22__bin_23_PROK	0	C1
MASTER_WP4_UNINA_1__PA001_71775__bin_11_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-14D__bin_5_PROK	0	C1
MASTER_WP4_CSIC_2__P2581__bin_10_PROK	0	C1
MASTER_WP4_FFoQSI_1__DC18-02__bin_7_PROK	0	C1
DeFilippisF_xxxx__DF_8__bin_4_PROK	0	C1
WalshL_xxxx__P10__bin_4_PROK	0	C1
LeechJ_xxxx__AF45__bin_9_PROK	0	C1
WalshL_xxxx__H4__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB01-24__bin_1_PROK	0	C1
MASTER_WP4_CSIC_1__P2223_73323__bin_2_PROK	0	C1
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin_1_PROK	0	C1
MASTER_WP4_UNINA_2__C-27_0__bin_1_PROK	0	C1
WalshL_xxxx__E3__bin_2_PROK	0	C1
MASTER_WP4_UNINA_2__V-20__bin_1_PROK	0	C1
MortensenS_xxxx__WK007-2-G-48h-01D1_S7__bin_2_PROK	0	C1
MASTER_WP4_CSIC_2__P2618__bin_2_PROK	0.43753573	C1
MortensenS_xxxx__WK010-1-L-08h-02A1_S61__bin_8_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB13-30__bin_16_PROK	0	C1
MortensenS_xxxx__WK058-2-L-48h-04G8_S33__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB06-30__bin_29_PROK	0	C1
MASTER_WP4_CSIC_1__P2245_73323__bin_4_PROK	0	C1
HeilCS_2018__Old_Warehouse_metagenome__bin_1_PROK	0	C1
MASTER_WP4_CSIC_2__P2599__bin_21_PROK	0	C1
MortensenS_xxxx__WK059-1-L-48h-04H1_S35__bin_7_PROK	0	C1
MASTER_WP4_UNINA_2__M-26_1__bin_5_PROK	0	C1
MASTER_WP4_CSIC_2__P2485__bin_2_PROK	0	C1
AlvarezOrdonezA_xxxx__Q02-28__bin_23_PROK	0	C1
MASTER_WP4_CSIC_1__P2201_73323__bin_5_PROK	0	C1
MASTER_WP4_CSIC_1__P2227_73323__bin_3_PROK	0	C1
MASTER_WP4_CSIC_2__P2549__bin_11_PROK	0	C1
MortensenS_xxxx__WK006-1-L-08h-01H3_S45__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_1__RC17-02__bin_16_PROK	0	C1
MASTER_WP4_CSIC_1__P2239_73323__bin_24_PROK	0	C1
WalshL_xxxx__H1__bin_3_PROK	0	C1
MASTER_WP4_CSIC_1__P2199_73323__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-08-M3__bin_8_PROK	0	C1
MASTER_WP4_UNINA_2__I-24_1__bin_3_PROK	0	C1
MortensenS_xxxx__WK051-2-G-48h-04D3_S1__bin_4_PROK	0.054349244	C1
MASTER_WP4_FFoQSI_1__VB-12D__bin_13_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-06-AD__bin_28_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS13-29__bin_8_PROK	0	C1
EscobarZepedaA_2016__SRS974112__bin_31_PROK	0	C1
WalshL_xxxx__N9__bin_2_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS08-29__bin_22_PROK	0	C1
AlvarezOrdonezA_xxxx__F05-18__bin_2_EUK	0	C1
MASTER_WP4_TEAGASC_1__TGS01-22__bin_37_PROK	0	C1
MASTER_WP4_UNINA_1__PM013_71775__bin_13_PROK	0	C1
MASTER_WP4_CSIC_2__P2606__bin_8_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-14D__bin_35_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB01-29__bin_20_PROK	0	C1
LeechJ_2020__ERS3967735__bin_13_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-16-M14__bin_6_PROK	0	C1
MASTER_WP4_UNINA_1__PU010_71775__bin_22_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-09-M7__bin_82_PROK	0	C1
LeechJ_xxxx__AF39__bin_1_PROK	0	C1
LeechJ_2020__ERS3967716__bin_6_PROK	0	C1
MASTER_WP4_CSIC_2__P2609__bin_11_PROK	0	C1
LeechJ_2020__ERS3967731__bin_1_PROK	0.36170602	C1
MortensenS_xxxx__WK008-1-L-48h-01I3_S54__bin_3_PROK	0	C1
AlvarezOrdonezA_xxxx__Q08-29__bin_26_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB08-30__bin_43_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-16-M16__bin_28_PROK	0	C1
AlvarezOrdonezA_xxxx__Q07-25__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB11-29__bin_3_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS11-28__bin_2_PROK	0	C1
MASTER_WP4_FFoQSI_1__KM-2G__bin_33_PROK	0	C1
SternesPR_2017__Y2D1_B_shotgun__bin_1_EUK	0	C1
DeFilippisF_xxxx__DS_90__bin_3_PROK	0	C1
DeFilippisF_xxxx__DS_98__bin_17_PROK	0	C1
MortensenS_xxxx__WK019-2-G-48h-01E4_S19__bin_6_PROK	0	C1
MortensenS_xxxx__WK014-2-G-48h-01D8_S14__bin_1_PROK	0	C1
LiZ_2018__SRS2920550__bin_29_PROK	0	C1
LeechJ_xxxx__AF54__bin_10_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB15-29__bin_15_PROK	0	C1
MASTER_WP4_UNINA_2__S-27_0__bin_3_PROK	0	C1
MASTER_WP4_UNINA_1__PA011_73417__bin_5_PROK	0	C1
MASTER_WP4_UNINA_1__FI010_71775__bin_12_PROK	0	C1
MASTER_WP4_UNINA_1__GO011_71775__bin_10_EUK	0	C1
MASTER_WP4_CSIC_2__P2636__bin_9_PROK	0	C1
DeFilippisF_xxxx__DF_30__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB15-20__bin_2_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB16-28__bin_4_PROK	0	C1
LandisEA_2021__SRS5653396__bin_8_PROK	0.5461697	C1
MASTER_WP4_UNINA_1__PU007_71775__bin_20_PROK	0	C1
MortensenS_xxxx__WK062-1-L-48h-04I4_S47__bin_3_PROK	0	C1
MortensenS_xxxx__WK030-2-L-08h-03A8_S27__bin_5_PROK	0	C1
WalshL_xxxx__G2__bin_1_PROK	0	C1
MortensenS_xxxx__WK041-1-L-48h-03F6_S70__bin_1_PROK	0	C1
AlvarezOrdonezA_xxxx__Q06-28__bin_7_PROK	0	C1
WalshL_xxxx__P11__bin_6_PROK	0	C1
MortensenS_xxxx__WK047-2-L-08h-03I4_S95__bin_2_EUK	0	C1
MortensenS_xxxx__WK048-2-G-48h-04C6_S124__bin_1_PROK	0	C1
MASTER_WP4_UNINA_1__SR008_71775__bin_18_PROK	0	C1
MASTER_WP4_CSIC_2__P2479__bin_13_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS15-30__bin_16_PROK	0	C1
MASTER_WP4_CSIC_2__P2500__bin_7_PROK	0	C1
MASTER_WP4_CSIC_2__P2614__bin_51_EUK	0	C1
LeechJ_xxxx__AF03__bin_9_PROK	0	C1
LeechJ_2020__ERS3967738__bin_5_PROK	0	C1
