genome	relative_abundance	sample
MortensenS_xxxx__WK016-1-L-48h-02C8_S86__bin_7_EUK	0	C1
QuigleyL_2016__ERS654090__bin_4_PROK	0	C1
MortensenS_xxxx__WK063-1-L-08h-04I7_S50__bin_3_PROK	0	C1
EscobarZepedaA_2016__SRS974112__bin_3_PROK	0	C1
MASTER_WP4_UNINA_1__GO102_71775__bin_42_PROK	0	C1
WalshL_xxxx__D6__bin_1_PROK	0	C1
DuR_2020__DRS139335__bin_2_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-09-BD__bin_3_PROK	0	C1
WalshAM_2020__ERS3466732__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB12-F-AR__bin_9_PROK	0	C1
MortensenS_xxxx__WK016-2-L-08h-02C9_S87__bin_8_EUK	0	C1
SternesPR_2017__Control1_C_shotgun__bin_4_EUK	0	C1
AlvarezOrdonezA_xxxx__Q02-29__bin_3_PROK	0	C1
EBC_148_26_fa_PROK_MiFo_tagged	0	C1
LeechJ_xxxx__AF27__bin_4_PROK	0	C1
YaoG_2017__NM20-3__bin_4_EUK	0	C1
WalshAM_2020__ERS3466777__bin_2_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB08-29__bin_18_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB05-29__bin_29_PROK	0	C1
MASTER_WP4_FFoQSI_1__KM-2G__bin_12_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB13-27__bin_2_PROK	0	C1
ArikanM_2020__ERS1939657__bin_4_PROK	0	C1
MASTER_WP4_FFoQSI_1__KM-5D__bin_47_PROK	0	C1
MASTER_WP4_UNINA_2__O-21__bin_1_PROK	0	C1
AlvarezOrdonezA_xxxx__Q04-24__bin_6_PROK	0	C1
WalshL_xxxx__L4__bin_2_PROK	0	C1
MASTER_WP4_UNINA_2__D-20__bin_14_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS13-27__bin_1_PROK	0	C1
MortensenS_xxxx__WK036-2-L-48h-03D6_S52__bin_7_PROK	0	C1
DeFilippisF_xxxx__DS_19__bin_3_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB11-30__bin_15_PROK	0	C1
MASTER_WP4_CSIC_1__P2149_73322__bin_30_EUK	0	C1
SulaimanJ_2014__SRS398269__bin_4_EUK	0	C1
MacoriG_2019__CS_R36__bin_1_fa_PROK_MiFo_tagged	0	C1
EinsonEJ_2018__SRS2706108__bin_6_PROK	0	C1
MortensenS_xxxx__WK041-2-G-48h-04B8_S117__bin_8_PROK	0	C1
MASTER_WP4_CSIC_1__P2156_73322__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB14-F-AR__bin_10_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS01-30__bin_5_PROK	0	C1
MASTER_WP4_UNINA_1__PM013_71775__bin_20_PROK	0	C1
LandisEA_2021__SRS5653248__bin_7_PROK	0	C1
MortensenS_xxxx__WK017-2-L-08h-02D4_S91__bin_7_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-14-M17__bin_26_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-15-M9__bin_55_PROK	0	C1
DuR_2020__DRS139334__bin_15_EUK	0	C1
MASTER_WP4_FFoQSI_3__VB02-30__bin_11_PROK	0	C1
MortensenS_xxxx__WK016-1-L-48h-02C8_S86__bin_3_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB01-30__bin_33_PROK	0	C1
MASTER_WP4_UNINA_2__Q-17__bin_20_PROK	0	C1
MASTER_WP4_UNINA_1__SP009_71775__bin_28_PROK	0	C1
MortensenS_xxxx__WK029-1-L-48h-03A3_S22__bin_3_PROK	0	C1
AlvarezOrdonezA_xxxx__Q07-22__bin_19_PROK	0	C1
MASTER_WP4_UNINA_2__Q-18__bin_16_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB05-29__bin_5_PROK	0	C1
MASTER_WP4_UNINA_1__PA002_73417__bin_6_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS14-22__bin_35_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-15-M10__bin_4_EUK	0	C1
MASTER_WP4_TEAGASC_1__TGS06-30__bin_4_PROK	0	C1
WalshAM_2020__ERS3466739__bin_3_PROK	0	C1
LiZ_2018__SRS2920550__bin_23_PROK	0	C1
MortensenS_xxxx__WK054-1-L-08h-04E7_S14__bin_9_EUK	0	C1
MASTER_WP4_UNINA_1__FI109_71775__bin_2_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS01-29__bin_5_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS06-29__bin_6_PROK	0	C1
WalshL_xxxx__F12__bin_3_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB11-30__bin_16_PROK	0	C1
MortensenS_xxxx__WK038-2-L-48h-03E5_S60__bin_7_EUK	0	C1
BertuzziAS_2018__ERS2032104__bin_5_PROK	0	C1
MortensenS_xxxx__WK002-2-G-48h-01C5_S133__bin_4_PROK	0	C1
WalshAM_2020__ERS3466794__bin_1_PROK	0	C1
MASTER_WP4_CSIC_1__P2245_73323__bin_5_PROK	0	C1
MASTER_WP4_CSIC_2__P2556__bin_7_PROK	0	C1
MortensenS_xxxx__WK014-2-L-08h-02C1_S79__bin_4_PROK	0	C1
MASTER_WP4_CSIC_2__P2621__bin_32_PROK	0	C1
MortensenS_xxxx__WK022-1-L-48h-02F8_S113__bin_2_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB12-F-AR__bin_31_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS15-30__bin_17_PROK	0	C1
LeechJ_2020__ERS3967741__bin_10_EUK	0	C1
AlvarezOrdonezA_xxxx__Q06-28__bin_3_PROK	0.39297175	C1
DeFilippisF_xxxx__DF_123__bin_3_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-14-M18__bin_5_PROK	0	C1
MASTER_WP4_UNINA_1__PU007_71775__bin_21_PROK	0	C1
MASTER_WP4_CSIC_1__P2238_73323__bin_7_PROK	0	C1
LandisEA_2021__SRS5653399__bin_1_PROK	0	C1
BertuzziAS_2018__ERS2032114__bin_9_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-14D__bin_19_PROK	0	C1
MortensenS_xxxx__WK044-1-L-48h-03G9_S82__bin_1_PROK	0	C1
MortensenS_xxxx__WK041-2-L-08h-03F7_S71__bin_3_EUK	0	C1
WalshL_xxxx__D4__bin_1_PROK	0	C1
MortensenS_xxxx__WK001T-1-L-00h-05D3_S82__bin_3_EUK	0	C1
MASTER_WP4_FFoQSI_1__VB-04-BG__bin_10_PROK	0	C1
MASTER_WP4_UNINA_2__H-29__bin_3_PROK	0	C1
MASTER_WP4_UNINA_1__PU007_71775__bin_15_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS15-29__bin_18_EUK	0	C1
MortensenS_xxxx__WK045-1-L-48h-03H4_S86__bin_3_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB06-29__bin_2_PROK	0	C1
MASTER_WP4_UNINA_2__C-27_0__bin_6_PROK	0	C1
MortensenS_xxxx__WK064-2-L-48h-05A5_S57__bin_2_PROK	0	C1
AlvarezOrdonezA_xxxx__C08-18__bin_8_EUK	0	C1
LeechJ_xxxx__AF88__bin_7_PROK	0	C1
MortensenS_xxxx__WK056-1-L-48h-04F7_S23__bin_1_PROK	0	C1
MASTER_WP4_CSIC_2__P2605__bin_13_PROK	0	C1
MortensenS_xxxx__WK036-1-L-48h-03D4_S50__bin_5_PROK	0	C1
MASTER_WP4_UNINA_2__F-27_0__bin_3_PROK	0	C1
LeechJ_xxxx__AF29__bin_5_PROK	0	C1
MASTER_WP4_UNINA_1__PR003_71775__bin_5_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS08-30__bin_2_PROK	0	C1
LeechJ_2020__ERS3967714__bin_6_EUK	0	C1
MASTER_WP4_UNINA_2__I-30__bin_14_PROK	0	C1
MASTER_WP4_CSIC_2__P2512__bin_10_PROK	0	C1
MortensenS_xxxx__WK025-1-L-08h-02H4_S5__bin_8_PROK	0	C1
MASTER_WP4_UNINA_1__GR003_71775__bin_3_PROK	0	C1
WolfeBE_2014__581_Moses_Sleeper__bin_2_PROK	0	C1
SternesPR_2017__T1D1_B_shotgun__bin_5_PROK	0	C1
PothakosV_2020__ERS2068299__bin_21_PROK	0	C1
WalshL_xxxx__T5__bin_5_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS05-28_0__bin_8_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB05-29__bin_19_PROK	0	C1
AlvarezOrdonezA_xxxx__Q08-28__bin_6_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS13-21__bin_3_PROK	0	C1
WalshL_xxxx__F10__bin_4_PROK	0	C1
MASTER_WP4_UNINA_2__V-25__bin_5_PROK	0	C1
DeFilippisF_xxxx__DS_84__bin_1_PROK	0	C1
MASTER_WP4_UNINA_2__U-21__bin_3_PROK	0	C1
DeFilippisF_xxxx__DS_103__bin_2_PROK	0	C1
MortensenS_xxxx__WK032-2-L-48h-03B8_S36__bin_6_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB02-30__bin_35_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS01-29__bin_3_PROK	0	C1
AlvarezOrdonezA_xxxx__R04-17__bin_11_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-03-M5__bin_27_PROK	0	C1
LeechJ_2020__ERS3967714__bin_5_PROK	0	C1
MortensenS_xxxx__WK054-2-L-48h-04F1_S17__bin_3_PROK	0	C1
LandisEA_2021__SRS5652970__bin_3_PROK	0	C1
DeFilippisF_xxxx__DS_13__bin_7_PROK	0	C1
MortensenS_xxxx__WK018T-1-L-04h-05E4_S92__bin_3_PROK	0	C1
DeFilippisF_xxxx__DF_102__bin_13_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB13-30__bin_33_PROK	0	C1
LeechJ_xxxx__AF84__bin_8_PROK	0	C1
AlvarezOrdonezA_xxxx__F01-16__bin_12_PROK	0	C1
MASTER_WP4_UNINA_1__SF013_71775__bin_25_EUK	0	C1
MortensenS_xxxx__WK010-2-L-48h-02A4_S64__bin_8_PROK	0	C1
WalshL_xxxx__W9__bin_2_PROK	0	C1
KumarJ_2019__SRS4562500__bin_13_PROK	0	C1
AlvarezOrdonezA_xxxx__R02-19__bin_2_PROK	0	C1
DeFilippisF_xxxx__DF_36__bin_4_PROK	0	C1
MortensenS_xxxx__WK007-1-L-48h-01H8_S50__bin_5_PROK	0	C1
MortensenS_xxxx__WK023-2-L-08h-02G4_S118__bin_1_PROK	0	C1
WalshL_xxxx__P6__bin_1_PROK	0	C1
WalshL_xxxx__C6__bin_1_PROK	0	C1
MASTER_WP4_CSIC_1__P2219_73323__bin_18_PROK	0	C1
MASTER_WP4_FFoQSI_1__KM-2D__bin_18_PROK	0	C1
MASTER_WP4_CSIC_2__P2596__bin_8_PROK	0	C1
