C1	C2	C3	C4
C1	0	0.4529691288015	0.391719071046361	0.210527047076334
C2	0.4529691288015	0	0.616945457139685	0.608020669077369
C3	0.391719071046361	0.616945457139685	0	0.355006413387534
C4	0.210527047076334	0.608020669077369	0.355006413387534	0
