Genome	orange_2.mags.sorted Relative Abundance (%)	orange_2.mags.sorted Trimmed Mean	orange_2.mags.sorted Covered Fraction
MASTER_WP4_FFoQSI_1__VB-15-M10__bin_23_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__Q-18__bin_1_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-09-M7__bin_36_PROK.fna	0	0	0
DeFilippisF_xxxx__DF_114__bin_9_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__C06-18__bin_23_EUK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q03-22__bin_2_PROK.fna	0	0	0
LeechJ_xxxx__AF09__bin_10_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__RC17-032__bin_3_PROK.fna	0	0	0
ChaconVargasK_2020__SRS6087094__bin_4_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2137_73322__bin_2_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-09-M8__bin_47_PROK.fna	0	0	0
ZhaoCC_2020__SRS5803194__bin_11_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__C03-19__bin_12_EUK.fna	0	0	0
LandisEA_2021__SRS5653168__bin_6_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__FI010_71775__bin_25_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS06-22__bin_4_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q06-29__bin_4_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__PU007_71775__bin_15_PROK.fna	0	0	0
LeechJ_2020__ERS3967711__bin_11_PROK.fna	0	0	0
LeechJ_xxxx__AF57__bin_12_PROK.fna	0	0	0
LeechJ_xxxx__AF27__bin_4_PROK.fna	0	0	0
XieM_2019__SAMC044639__bin_29_EUK.fna	0	0	0
LandisEA_2021__SRS5653217__bin_3_PROK.fna	0	0	0
LeechJ_2020__ERS3967741__bin_4_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__A-20__bin_20_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2517__bin_2_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__F05-18__bin_5_EUK.fna	0	0	0
MASTER_WP4_CSIC_1__P2245_73323__bin_20_EUK.fna	0	0	0
MASTER_WP4_FFoQSI_2__VB08-22__bin_9_PROK.fna	0	0	0
LeechJ_xxxx__AF80__bin_2_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_3__VB14-22__bin_17_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q07-20__bin_6_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2558__bin_48_PROK.fna	0	0	0
LeechJ_2020__ERS3967740__bin_11_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__GO013_71775__bin_11_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2599__bin_11_EUK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q07-22__bin_5_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__FI109_71775__bin_14_PROK.fna	0	0	0
LiZ_2018__SRS2920553__bin_2_EUK.fna	0	0	0
MASTER_WP4_FFoQSI_2__VB16-30__bin_6_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2601__bin_11_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS11-22__bin_13_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__J-18__bin_9_PROK.fna	0	0	0
ChaconVargasK_2020__SRS6087089__bin_5_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__KM-2D__bin_34_PROK.fna	0	0	0
LeechJ_xxxx__AF11__bin_2_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2574__bin_32_EUK.fna	0	0	0
AlvarezOrdonezA_xxxx__C05-16__bin_5_PROK.fna	0	0	0
YulandiA_2020__SRS6115052__bin_7_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__TA011_71775__bin_29_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_3__VB13-30__bin_30_PROK.fna	0	0	0
WolfeBE_2014__365_Stichelton__bin_6_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_3__VB13-29__bin_38_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__B-22__bin_5_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__M-22__bin_2_PROK.fna	0	0	0
MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin_1_EUK.fna	0	0	0
MASTER_WP4_UNINA_1__TA012_71775__bin_15_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__V-21__bin_42_PROK.fna	0	0	0
SternesPR_2017__Y3D3_B_shotgun__bin_1_EUK.fna	0	0	0
PothakosV_2020__ERS2068298__bin_19_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__SC012_71775__bin_14_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-05-AD__bin_2_PROK.fna	0	0	0
ChaconVargasK_2020__SRS6087094__bin_7_PROK.fna	0	0	0
MortensenS_xxxx__WK056-1-L-48h-04F7_S23__bin_7_PROK.fna	0	0	0
BertuzziAS_2018__ERS2032104__bin_6_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2517__bin_13_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_2__VB16-30__bin_31_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__DC18-02__bin_11_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__J-17__bin_22_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__SF013_71775__bin_25_EUK.fna	0	0	0
LeechJ_xxxx__AF18__bin_2_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2136_73322__bin_14_PROK.fna	0	0	0
DeFilippisF_xxxx__DF_115__bin_27_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__TA011_71775__bin_24_PROK.fna	0	0	0
DeFilippisF_xxxx__DF_118__bin_3_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2137_73322__bin_3_PROK.fna	0	0	0
